rank,name,mint_price,psa10_price,diff,url
6,イーブイ [287/SM-P],300000,770000,470000,https://pokeca-chart.com/287-sm-p
36,ラティアス&ラティオスGX [SM9 105/095],398000,821500,423500,https://pokeca-chart.com/sm9-105-095
1,ミュウツー&ミュウGX [SM11 098/094],199629,614600,414971,https://pokeca-chart.com/sm11-098-094
32,メガリザードンXex [M2 116/080],248500,625667,377167,https://pokeca-chart.com/m2-116-080
3,ブラッキー&ダークライGX [SM12a 182/173],177777,356666,178889,https://pokeca-chart.com/sm12a-182-173
59,ゲンガーVMAX [SGG 020/019],226500,395000,168500,https://pokeca-chart.com/sgg-020-019
27,ピカチュウV [s8a-G 001/015],110000,278000,168000,https://pokeca-chart.com/s8a-g-001-015
52,ルギアV [s12 110/098],98000,261999,163999,https://pokeca-chart.com/s12-110-098
34,リーリエのピッピex [MC 765/742],100000,255750,155750,https://pokeca-chart.com/mc-765-742
47,メガルカリオex [M1L 092/063],48888,194000,145112,https://pokeca-chart.com/m1l-092-063
40,_のピカチュウ [S8a 007/025],55000,183707,128707,https://pokeca-chart.com/s8a-007-025
50,リザードン [S8a-P 001/025],60000,180000,120000,https://pokeca-chart.com/s8a-p-001-025
85,ミュウ [S8a 030/028],35944,138000,102056,https://pokeca-chart.com/s8a-030-028
22,ピカチュウ(マスターボールミラー) [SV2a 025/165],78000,170000,92000,https://pokeca-chart.com/sv2a-025-165
20,リザードン [CLL 003/032],36874,125555,88681,https://pokeca-chart.com/cll-003-032
41,ピカチュウ [323/S-P],62500,150000,87500,https://pokeca-chart.com/323-s-p
54,ミュウex [SV2a 205/165],41500,128431,86931,https://pokeca-chart.com/sv2a-205-165
5,ピカチュウex [WCS23 001/030],58367,144308,85941,https://pokeca-chart.com/wcs23-001-030
30,メガゲッコウガex [M4 114/083],51261,131833,80572,https://pokeca-chart.com/m4-114-083
98,ピカチュウ [S12a 205/172],48999,128999,80000,https://pokeca-chart.com/s12a-205-172
83,リザードンex [SV3 134/108],40250,116000,75750,https://pokeca-chart.com/sv3-134-108
43,メイのはげまし [M3 115/080],19875,93167,73292,https://pokeca-chart.com/m3-115-080
18,ゼクロムex [sv11B 174/086],75000,144444,69444,https://pokeca-chart.com/sv11b-174-086
11,ピカチュウ [CLL 008/032],14444,82000,67556,https://pokeca-chart.com/cll-008-032
12,メガメガニウムex [MC 761/742],34800,98500,63700,https://pokeca-chart.com/mc-761-742
45,レッドの挑戦 [SM12a 201/173],26500,89000,62500,https://pokeca-chart.com/sm12a-201-173
33,トウホクのピカチュウ [260/SV-P],17000,78167,61167,https://pokeca-chart.com/260-sv-p
67,イーブイ [MC 755/742],40000,99999,59999,https://pokeca-chart.com/mc-755-742
25,名探偵ピカチュウ [098/SV-P],28873,88444,59571,https://pokeca-chart.com/098-sv-p
70,メガカイリューex [M2a 246/193],29444,86815,57371,https://pokeca-chart.com/m2a-246-193
38,リザードンex [SV3 139/108],8500,65666,57166,https://pokeca-chart.com/sv3-139-108
21,ゼイユ [SV6 130/101],22240,77000,54760,https://pokeca-chart.com/sv6-130-101
16,リザードンex [SV4a 349/190],45500,98900,53400,https://pokeca-chart.com/sv4a-349-190
29,ピカチュウ [208/S-P],20387,73227,52840,https://pokeca-chart.com/208-s-p
28,ミュウex [SV2a 208/165],11000,63100,52100,https://pokeca-chart.com/sv2a-208-165
24,ピカチュウ [SM11b 054/049],28300,76700,48400,https://pokeca-chart.com/sm11b-054-049
