rank,name,mint_price,psa10_price,diff,url
95,リザードンEX [276/XY-P],660000,1150000,490000,https://pokeca-chart.com/276-xy-p
77,ゲンガー&ミミッキュGX [SM9 103/095],180000,585000,405000,https://pokeca-chart.com/sm9-103-095
1,Pikachu with Grey Felt Hat [SVP EN 085],199999,602500,402501,https://pokeca-chart.com/svp-en-085
32,サーナイトEX [CP3 019/032],40000,185266,145266,https://pokeca-chart.com/cp3-019-032
24,レッドのピカチュウ [270/SM-P],45000,187714,142714,https://pokeca-chart.com/270-sm-p
18,メガジガルデex [M3 117/080],35000,113000,78000,https://pokeca-chart.com/m3-117-080
66,メガオーダイルex [MC 763/742],33999,108000,74001,https://pokeca-chart.com/mc-763-742
10,ピカチュウ [SV4a 236/190],8597,80000,71403,https://pokeca-chart.com/sv4a-236-190
86,メガゲンガーex [M2a 240/193],65000,131750,66750,https://pokeca-chart.com/m2a-240-193
26,ヒロシマのピカチュウ [261/SV-P],25000,83167,58167,https://pokeca-chart.com/261-sv-p
65,ロケット団のミュウツーex [sv10 125/098],64000,120495,56495,https://pokeca-chart.com/sv10-125-098
27,ニンフィアGX [SM8b 238/150],29500,84916,55416,https://pokeca-chart.com/sm8b-238-150
61,エリカのモンジャラ [MC 743/742],17278,71000,53722,https://pokeca-chart.com/mc-743-742
75,バンギラスV [S5I 077/070],28000,81000,53000,https://pokeca-chart.com/s5i-077-070
37,ミュウツーV [s10b 074/071],9900,60000,50100,https://pokeca-chart.com/s10b-074-071
22,カスミのおねがい [SM11 104/094],23500,71300,47800,https://pokeca-chart.com/sm11-104-094
15,ピカチュウex [WCS23 001/030],70000,115999,45999,https://pokeca-chart.com/wcs23-001-030
92,エーフィGX [SM8b 220/150],17500,60500,43000,https://pokeca-chart.com/sm8b-220-150
81,エーフィV [S6a 081/069],18888,53000,34112,https://pokeca-chart.com/s6a-081-069
70,ルチアのアピール [SV7a 091/064],24000,50000,26000,https://pokeca-chart.com/sv7a-091-064
56,ラティアス [SV7a 087/064],22222,47900,25678,https://pokeca-chart.com/sv7a-087-064
73,ひかるコイキング [S8a-P 010/025],19999,44400,24401,https://pokeca-chart.com/s8a-p-010-025
47,エリカの招待 [SV2a 206/165],11000,34464,23464,https://pokeca-chart.com/sv2a-206-165
54,インテレオンVMAX [SGI 023/022],6999,29900,22901,https://pokeca-chart.com/sgi-023-022
52,パラソルおねえさん [sv3a 089/062],7500,29000,21500,https://pokeca-chart.com/sv3a-089-062
42,ブースターV [S6a 073/069],16499,36999,20500,https://pokeca-chart.com/s6a-073-069
13,ゼクロムex [sv11B 169/086],27550,47400,19850,https://pokeca-chart.com/sv11b-169-086
68,ミュウツー [SV2a 183/165],3999,22690,18691,https://pokeca-chart.com/sv2a-183-165
83,サーナイトex [SV1S 101/078],22625,39933,17308,https://pokeca-chart.com/sv1s-101-078
41,ロケット団のサカキ [sv10 129/098],2999,19800,16801,https://pokeca-chart.com/sv10-129-098
51,エーフィ [066/SV-P],9588,26000,16412,https://pokeca-chart.com/066-sv-p
2,ゼラオラVSTAR [S12a 220/172],3980,19400,15420,https://pokeca-chart.com/s12a-220-172
74,ピカチュウ [001/SV-P],4571,19880,15309,https://pokeca-chart.com/001-sv-p
5,ゼラオラVMAX [S12a 219/172],2400,17621,15221,https://pokeca-chart.com/s12a-219-172
58,サンダース [064/SV-P],10150,24833,14683,https://pokeca-chart.com/064-sv-p
