rank,name,mint_price,psa10_price,diff,url
9,ゲンガー&ミミッキュGX [SM9 103/095],180000,568999,388999,https://pokeca-chart.com/sm9-103-095
40,サーナイトEX [CP3 019/032],40000,185266,145266,https://pokeca-chart.com/cp3-019-032
87,ルギアV [s12 110/098],113178,230425,117247,https://pokeca-chart.com/s12-110-098
18,メガルカリオex [M1L 092/063],62000,173500,111500,https://pokeca-chart.com/m1l-092-063
16,メガジガルデex [M3 117/080],33333,113000,79667,https://pokeca-chart.com/m3-117-080
24,メガリザードンXex [M2 110/080],122500,200848,78348,https://pokeca-chart.com/m2-110-080
39,ブルーの探索 [SM12a 196/173],55555,130266,74711,https://pokeca-chart.com/sm12a-196-173
83,ブラッキーV [S6a 085/069],43999,114500,70501,https://pokeca-chart.com/s6a-085-069
8,ピカチュウ [SV4a 236/190],8050,75188,67138,https://pokeca-chart.com/sv4a-236-190
56,メガゲンガーex [M2a 240/193],69424,136098,66674,https://pokeca-chart.com/m2a-240-193
75,リザードン [S8a-P 001/025],100000,164006,64006,https://pokeca-chart.com/s8a-p-001-025
45,ゼクロムex [sv11B 174/086],79999,139999,60000,https://pokeca-chart.com/sv11b-174-086
33,メイのはげまし [M3 115/080],20722,80400,59678,https://pokeca-chart.com/m3-115-080
36,ピカチュウex [M2a 234/193],61500,120180,58680,https://pokeca-chart.com/m2a-234-193
31,ニンフィアGX [SM8b 238/150],29500,84916,55416,https://pokeca-chart.com/sm8b-238-150
7,ミュウツーV [s10b 074/071],9900,63967,54067,https://pokeca-chart.com/s10b-074-071
50,ソルガレオ&ルナアーラGX [SM11b 063/049],39999,90000,50001,https://pokeca-chart.com/sm11b-063-049
10,ピカチュウex [WCS23 001/030],70000,118100,48100,https://pokeca-chart.com/wcs23-001-030
32,ピカチュウ [CLL 008/032],16250,61000,44750,https://pokeca-chart.com/cll-008-032
53,メガカイリューex [M2a 246/193],40050,82950,42900,https://pokeca-chart.com/m2a-246-193
37,カスミ＆カンナ [SM12a 191/173],40000,77744,37744,https://pokeca-chart.com/sm12a-191-173
100,リザードンex [SV3 139/108],10916,46980,36064,https://pokeca-chart.com/sv3-139-108
71,カメックスex [SV2a 202/165],20629,55000,34371,https://pokeca-chart.com/sv2a-202-165
95,カヒリ [SM7a 065/060],6000,39750,33750,https://pokeca-chart.com/sm7a-065-060
55,ブラッキーVMAX [S8b 245/184],10900,42515,31615,https://pokeca-chart.com/s8b-245-184
91,チラチーノex [M4 117/083],4402,35800,31398,https://pokeca-chart.com/m4-117-083
94,ブラッキー(マスターボールミラー) [sv8a 092/187],14444,43899,29455,https://pokeca-chart.com/sv8a-092-187
89,ポケモンセンターのお姉さん [069/S-P],22278,47600,25322,https://pokeca-chart.com/069-s-p
66,ミカン [SM8a 058/052],10000,34950,24950,https://pokeca-chart.com/sm8a-058-052
86,ひかるコイキング [S8a-P 010/025],19999,43500,23501,https://pokeca-chart.com/s8a-p-010-025
21,インテレオンVMAX [SGI 023/022],6500,29999,23499,https://pokeca-chart.com/sgi-023-022
23,ピカチュウ [SV2a 173/165],5350,28633,23283,https://pokeca-chart.com/sv2a-173-165
5,ギラティナVSTAR [s11 125/100],8899,32000,23101,https://pokeca-chart.com/s11-125-100
58,パラソルおねえさん [sv3a 089/062],7500,30050,22550,https://pokeca-chart.com/sv3a-089-062
35,ブラッキー [067/SV-P],25433,47980,22547,https://pokeca-chart.com/067-sv-p
12,リーフィアV [S6a 071/069],19999,41900,21901,https://pokeca-chart.com/s6a-071-069
29,メガルカリオex [M1L 088/063],10700,31900,21200,https://pokeca-chart.com/m1l-088-063
64,メイのはげまし [M3 107/080],2500,22800,20300,https://pokeca-chart.com/m3-107-080
48,かがやくリザードン [s10b 011/071],3072,22993,19921,https://pokeca-chart.com/s10b-011-071
52,リザードンex [SV3 125/108],3000,22222,19222,https://pokeca-chart.com/sv3-125-108
67,ミュウツー [SV2a 183/165],4088,23240,19152,https://pokeca-chart.com/sv2a-183-165
54,ミュウツーVSTAR [s10b 091/071],7163,25000,17837,https://pokeca-chart.com/s10b-091-071
49,エーフィex [sv8a 211/187],9266,26450,17184,https://pokeca-chart.com/sv8a-211-187
77,ヒビキのホウオウex [sv9a 086/063],29999,46950,16951,https://pokeca-chart.com/sv9a-086-063
13,ニンフィア [070/SV-P],9200,26020,16820,https://pokeca-chart.com/070-sv-p
72,かがやくイーブイ [s10b 055/071],1638,18000,16362,https://pokeca-chart.com/s10b-055-071
69,ダイゴのメタグロスex [M2a 245/193],3844,19500,15656,https://pokeca-chart.com/m2a-245-193
79,リーフィア [068/SV-P],8555,24167,15612,https://pokeca-chart.com/068-sv-p
92,いたずら好きのピチュー [214/S-P],3333,17700,14367,https://pokeca-chart.com/214-s-p
19,イーブイ [SV5a 078/066],4200,18455,14255,https://pokeca-chart.com/sv5a-078-066
80,サンダース [064/SV-P],10150,24400,14250,https://pokeca-chart.com/064-sv-p
38,マツリカ [SM7b 056/050],4990,19000,14010,https://pokeca-chart.com/sm7b-056-050
22,グレイシア [069/SV-P],9694,23555,13861,https://pokeca-chart.com/069-sv-p
