rank,name,mint_price,psa10_price,diff,url
71,アイリス (1ed) [BW9 082/076],16000,415000,399000,https://pokeca-chart.com/bw9-082-076
93,ブラッキーVMAX [S6a 095/069],490000,865483,375483,https://pokeca-chart.com/s6a-095-069
97,ピカチュウ [CP3 010/032],445000,800000,355000,https://pokeca-chart.com/cp3-010-032
1,ミュウツー&ミュウGX [SM11 098/094],277777,580000,302223,https://pokeca-chart.com/sm11-098-094
87,メガリザードンXex [M2 116/080],295000,589950,294950,https://pokeca-chart.com/m2-116-080
28,レックウザV [S7R 076/067],158000,353000,195000,https://pokeca-chart.com/s7r-076-067
46,ダークライ [CP5 024/036],15000,154000,139000,https://pokeca-chart.com/cp5-024-036
43,ピカチュウ [001/S-P],71100,208000,136900,https://pokeca-chart.com/001-s-p
89,ブルーの探索 [SM12a 196/173],54800,140000,85200,https://pokeca-chart.com/sm12a-196-173
17,リザードン [S8a-P 001/025],89999,167000,77001,https://pokeca-chart.com/s8a-p-001-025
92,_のピカチュウ [S8a 007/025],64990,140000,75010,https://pokeca-chart.com/s8a-007-025
21,ゼクロムex [sv11B 174/086],72500,134000,61500,https://pokeca-chart.com/sv11b-174-086
82,リザードンex [SV2a 201/165],76000,136900,60900,https://pokeca-chart.com/sv2a-201-165
2,ピカチュウVMAX [S4 114/100],59999,120000,60001,https://pokeca-chart.com/s4-114-100
68,ピカチュウ [S12a 205/172],47500,103000,55500,https://pokeca-chart.com/s12a-205-172
75,バンギラスV [S5I 077/070],30000,80000,50000,https://pokeca-chart.com/s5i-077-070
24,レッドの挑戦 [SM12a 201/173],30000,79000,49000,https://pokeca-chart.com/sm12a-201-173
63,ピカチュウ [SV4a 236/190],9999,57733,47734,https://pokeca-chart.com/sv4a-236-190
48,トウホクのピカチュウ [260/SV-P],18888,65749,46861,https://pokeca-chart.com/260-sv-p
59,ピカチュウ [208/S-P],25975,67875,41900,https://pokeca-chart.com/208-s-p
13,ブルーの探索 [SM9b 061/054],21000,62000,41000,https://pokeca-chart.com/sm9b-061-054
34,リザードンex [SV4a 349/190],42394,83000,40606,https://pokeca-chart.com/sv4a-349-190
12,リザードンV [s9 103/100],42999,83480,40481,https://pokeca-chart.com/s9-103-100
96,ミュウV [s8 106/100],28500,67515,39015,https://pokeca-chart.com/s8-106-100
78,シロナ [SM8b 153/150],30000,64900,34900,https://pokeca-chart.com/sm8b-153-150
18,リザードンex [SV3 139/108],12500,44000,31500,https://pokeca-chart.com/sv3-139-108
52,ピカチュウex [sv8a 236/187],13200,44480,31280,https://pokeca-chart.com/sv8a-236-187
36,ミュウツーVSTAR [S12a 221/172],17419,48500,31081,https://pokeca-chart.com/s12a-221-172
58,ニンフィアV [S6a 083/069],20666,49444,28778,https://pokeca-chart.com/s6a-083-069
99,ミュウツーVSTAR [s10b 091/071],7750,36300,28550,https://pokeca-chart.com/s10b-091-071
38,チラチーノex [M4 117/083],4817,33333,28516,https://pokeca-chart.com/m4-117-083
94,ブラッキー(マスターボールミラー) [sv8a 092/187],17500,46000,28500,https://pokeca-chart.com/sv8a-092-187
65,カメックスex [SV2a 202/165],22000,50000,28000,https://pokeca-chart.com/sv2a-202-165
41,メイのはげまし [M3 107/080],2599,29800,27201,https://pokeca-chart.com/m3-107-080
90,メガジガルデex [M3 113/080],3900,29000,25100,https://pokeca-chart.com/m3-113-080
14,ブラッキーVMAX [S8b 245/184],10750,35000,24250,https://pokeca-chart.com/s8b-245-184
95,ナツメの暗示 [SM9 109/095],7988,30000,22012,https://pokeca-chart.com/sm9-109-095
79,ボスの指令 [MC 760/742],18888,39980,21092,https://pokeca-chart.com/mc-760-742
3,かがやくリザードン [s10b 011/071],4027,24736,20709,https://pokeca-chart.com/s10b-011-071
26,オリジンディアルガV [S10D 075/067],7777,28000,20223,https://pokeca-chart.com/s10d-075-067
88,ニンフィアVMAX [S8b 232/184],11000,31000,20000,https://pokeca-chart.com/s8b-232-184
8,シャワーズV [S6a 075/069],20000,39749,19749,https://pokeca-chart.com/s6a-075-069
30,フシギバナex [SV2a 200/165],21010,40666,19656,https://pokeca-chart.com/sv2a-200-165
29,サナ [S7R 077/067],7900,27000,19100,https://pokeca-chart.com/s7r-077-067
51,ピカチュウ [SV2a 173/165],5565,24500,18935,https://pokeca-chart.com/sv2a-173-165
57,リザードンex [SV3 125/108],3399,21500,18101,https://pokeca-chart.com/sv3-125-108
37,ピカチュウ [001/SV-P],4805,22333,17528,https://pokeca-chart.com/001-sv-p
83,ボタン [SV4a 354/190],3166,20466,17300,https://pokeca-chart.com/sv4a-354-190
7,かがやくイーブイ [s10b 055/071],2222,19480,17258,https://pokeca-chart.com/s10b-055-071
61,ポッチャマ [SM11b 052/049],8500,25500,17000,https://pokeca-chart.com/sm11b-052-049
69,ロケット団のファイヤーex [sv10 124/098],19258,35999,16741,https://pokeca-chart.com/sv10-124-098
73,サーフゴーex [sv3a 087/062],4899,21000,16101,https://pokeca-chart.com/sv3a-087-062
91,カスミのコダック [sv9a 071/063],4800,20887,16087,https://pokeca-chart.com/sv9a-071-063
